# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
257399,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257460,1,1,20000,HLT_PFJet80_v3/2,ONE,L1_SingleJet52/10000
257490,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257529,1,1,20000,HLT_PFJet80_v3/2,ONE,L1_SingleJet52/10000
257529,4,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257529,11,1,20000,HLT_PFJet80_v3/2,ONE,L1_SingleJet52/10000
257529,12,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257598,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257599,2,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
258335,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258403,1,1,50000,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/10000
258403,9,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258403,18,1,50000,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/10000
258403,19,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258423,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258425,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258427,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258428,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258703,1,4,15000,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/3000
258703,262,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
260583,1,1,50000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/10000
260583,3,4,15000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/3000
254230,1,1,10000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/10000
254230,21,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254232,1,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
256629,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
